HORA	SEG	TER	QUA	QUI	SEX	SABADO	DOMINGO
07:00	0	1	1	1	2	0	1
07:10	0	1	1	1	1	0	1
07:20	0	1	1	1	1	0	1
07:30	0	1	1	1	1	0	1
07:40	0	1	1	1	1	0	1
07:50	0	1	1	1	1	0	1
08:00	0	1	2	2	2	1	1
08:10	0	1	2	2	2	1	1
08:20	0	1	2	2	2	1	1
08:30	0	1	2	2	2	1	1
08:40	0	1	2	2	2	1	1
08:50	0	1	2	2	2	1	1
09:00	1	1	2	2	2	1	2
09:10	1	1	2	2	2	1	1
09:20	1	1	2	2	2	1	1
09:30	1	1	2	2	2	1	1
09:40	1	1	2	2	2	1	1
09:50	1	1	2	2	2	1	1
10:00	1	2	2	2	2	1	2
10:10	1	2	2	2	2	1	2
10:20	1	2	2	2	3	1	2
10:30	1	2	2	3	2	1	2
10:40	1	1	3	2	2	1	2
10:50	1	2	2	2	2	1	2
11:00	0	2	2	3	2	1	1
11:10	0	2	2	2	2	1	1
11:20	0	2	2	2	2	1	1
11:30	0	2	2	2	2	1	1
11:40	0	2	2	2	2	1	1
11:50	0	2	2	2	2	1	1
12:00	2	2	3	3	3	1	3
12:10	2	2	3	3	3	1	3
12:20	2	2	3	3	3	1	3
12:30	2	2	3	3	3	1	3
12:40	2	2	3	3	3	1	3
12:50	2	2	3	3	3	1	3
13:00	2	2	3	3	4	1	3
13:10	2	2	3	4	4	1	3
13:20	2	2	4	4	4	1	3
13:30	2	2	3	4	4	1	3
13:40	2	2	3	4	4	1	3
13:50	2	2	3	3	4	1	3
14:00	3	3	5	5	5	3	3
14:10	3	2	5	5	5	3	3
14:20	3	3	5	5	5	3	3
14:30	3	3	5	5	5	3	3
14:40	3	2	5	5	5	3	3
14:50	3	3	5	5	5	3	3
15:00	3	4	5	6	5	3	4
15:10	3	3	6	6	5	3	4
15:20	3	4	5	6	5	3	4
15:30	3	4	6	6	5	3	4
15:40	3	3	5	6	5	3	4
15:50	3	4	6	6	5	3	4
16:00	3	2	4	4	4	3	2
16:10	3	2	5	5	4	3	2
16:20	3	2	5	4	4	2	2
16:30	3	2	5	5	4	3	2
16:40	3	2	4	4	4	3	2
16:50	3	2	5	5	4	3	2
17:00	2	2	4	3	3	2	2
17:10	2	2	4	3	3	2	2
17:20	2	2	3	3	3	2	2
17:30	2	2	3	3	3	2	2
17:40	2	2	3	4	3	2	2
17:50	2	1	3	3	3	2	2
18:00	2	2	4	3	3	3	2
18:10	2	2	4	4	4	3	2
18:20	2	2	4	4	4	3	2
18:30	2	2	4	4	3	3	2
18:40	2	2	4	4	3	3	2
18:50	2	3	4	4	4	3	2
19:00	2	1	4	3	4	3	1
19:10	2	1	4	3	4	3	1
19:20	2	1	3	4	3	3	1
19:30	2	1	4	3	4	3	1
19:40	2	1	4	4	4	3	1
19:50	2	2	4	4	3	3	1
20:00	2	2	4	4	3	2	1
20:10	2	2	4	4	3	2	1
20:20	2	1	4	4	3	2	1
20:30	2	2	4	4	4	2	1
20:40	2	2	4	4	3	2	1
21:00	2	2	4	4	3	2	1
21:10	1	2	3	3	3	2	0
21:20	1	2	3	3	2	2	0
21:30	1	2	3	3	2	2	0
21:40	1	2	3	3	3	2	0
21:50	1	2	3	3	3	2	0
22:00	1	2	3	3	3	2	0
22:10	1	1	2	2	2	2	0
22:20	1	1	2	2	2	2	0
22:30	1	1	2	2	2	2	0
22:40	1	1	2	2	2	2	0
22:50	1	1	2	2	2	2	0
23:00	1	1	2	2	2	2	0
23:10	0	1	1	1	1	1	0
23:20	0	1	1	1	1	1	0
23:30	0	1	1	1	1	1	0
23:40	0	1	1	1	1	1	0
23:50	0	1	1	1	1	1	0
00:00	0	2	1	1	1	1	0
